ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,Total Students All Grades (Excludes AE) [District] 2024-25,Agency ID - NCES Assigned [District] Latest available year,Locale [District] 2024-25
ACHIEVEMENT HOUSE CS,Pennsylvania,927,4200128,21-Suburb: Large
ACHIEVEMENT PREPARATORY ACADEMY PCS,District of Columbia,409,1100072,11-City: Large
ACHIEVEMENT SCHOOL DISTRICT,Tennessee,1412,4700147,11-City: Large
ACHIEVEPOINT CAREER ACADEMY - CINCINNATI,OHIO,303,3901602,11-City: Large
ACHIEVERS EARLY COLLEGE PREP CHARTER SCHOOL,NEW JERSEY,543,3400794,13-City: Small
ACHILLE,Oklahoma,285,4002370,42-Rural: Distant
ACKERMAN CHARTER,California,606,0601680,31-Town: Fringe
ACORN MONTESSORI CHARTER SCHOOL (79437),Arizona,560,0400320,13-City: Small
ACTON PUBLIC SCHOOLS,Maine,256,2302220,42-Rural: Distant
ACTON-AGUA DULCE UNIFIED,California,1056,0600001,41-Rural: Fringe
ACTON-BOXBOROUGH,Massachusetts,5055,2501710,21-Suburb: Large
ACUSHNET,Massachusetts,920,2501740,22-Suburb: Mid-size
AD PRIMA CS,Pennsylvania,602,4200129,11-City: Large
ADA,Oklahoma,2696,4002430,33-Town: Remote
ADA EXEMPTED VILLAGE,Ohio,865,3904518,31-Town: Fringe
ADA-BORUP-WEST PUBLIC SCHOOLS,MINNESOTA,705,2700480,43-Rural: Remote
ADAIR,Oklahoma,988,4002460,42-Rural: Distant
ADAIR CO. R-I,Missouri,206,2922980,42-Rural: Distant
ADAIR CO. R-II,Missouri,144,2905790,42-Rural: Distant
ADAIR COUNTY,Kentucky,2585,2100030,33-Town: Remote
ADAIR-CASEY COMM SCHOOL DISTRICT,Iowa,260,1903090,43-Rural: Remote
ADAM/BRWN/CASS/MORGN/PIK/SCTT ROE,Illinois,0,1700162,33-Town: Remote
ADAMS 1 MAPLETON AU,Colorado,†,0800258,21-Suburb: Large
ADAMS 12 FIVE STAR SCHOOLS,Colorado,34466,0806900,21-Suburb: Large
ADAMS 12 NORTHGLENN AU,Colorado,†,0800268,21-Suburb: Large
ADAMS 14 COMMERCE CITY AU,Colorado,†,0800272,13-City: Small
ADAMS 27J SCHOOL DISTRICT 27J AU,Colorado,†,0800237,21-Suburb: Large
ADAMS CENTRAL COMMUNITY SCHOOLS,Indiana,1357,1800060,42-Rural: Distant
ADAMS CENTRAL PUBLIC SCHOOLS,Nebraska,1056,3102770,41-Rural: Fringe
ADAMS COUNTY BOCES,Colorado,†,0800009,21-Suburb: Large
ADAMS COUNTY OHIO VALLEY LOCAL,Ohio,3435,3906190,43-Rural: Remote
ADAMS COUNTY TECHNICAL INSTITUTE,PENNSYLVANIA,5,4200905,41-Rural: Fringe
ADAMS TOWNSHIP SCHOOL DISTRICT,Michigan,474,2601890,42-Rural: Distant
ADAMS-ARAP 28J AURORA AU,Colorado,†,0800255,11-City: Large
ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT,Wisconsin,1270,5500060,43-Rural: Remote
ADDISON CENTRAL SCHOOL DISTRICT,New York,1046,3602370,42-Rural: Distant
ADDISON CENTRAL SUPERVISORY DISTRICT,Vermont,†,5099903,32-Town: Distant
ADDISON CENTRAL UNIFIED UNION SCHOOL DISTRICT #55,VERMONT,1743,5000402,32-Town: Distant
ADDISON COMMUNITY SCHOOLS,Michigan,682,2601920,42-Rural: Distant
ADDISON NORTHWEST SUPERVISORY DISTRICT,Vermont,†,5099902,42-Rural: Distant
ADDISON NORTHWEST UNIFIED UNION SCHOOL DISTRICT #54,VERMONT,910,5000398,42-Rural: Distant
ADDISON SD 4,Illinois,3389,1703150,21-Suburb: Large
ADEL DESOTO MINBURN COMM SCHOOL DISTRICT,Iowa,2278,1903150,31-Town: Fringe
ADEL SD 21,Oregon,15,4100990,43-Rural: Remote
ADELANTE CHARTER DISTRICT,CALIFORNIA,306,0602343,13-City: Small
ADELANTE SCHOOLS,INDIANA,451,1800216,11-City: Large
ADELANTO ELEMENTARY,California,7669,0601710,21-Suburb: Large
ADELINE MONTESSORI SCHOOL INC,WISCONSIN,211,5500089,41-Rural: Fringe
ADENA LOCAL,Ohio,1084,3904949,42-Rural: Distant
ADIRONDACK CENTRAL SCHOOL DISTRICT,New York,1186,3605040,42-Rural: Distant
ADLAI E STEVENSON HSD 125,Illinois,4758,1732580,21-Suburb: Large
ADMIRAL PEARY AREA VOCATIONAL-TECHNICAL SCHOOL,Pennsylvania,24,4280120,41-Rural: Fringe
ADNA SCHOOL DISTRICT,Washington,634,5300060,42-Rural: Distant
ADRIAN ISD,Texas,141,4807500,43-Rural: Remote
ADRIAN PUBLIC SCHOOL DISTRICT,Minnesota,589,2702730,43-Rural: Remote
ADRIAN PUBLIC SCHOOLS,Michigan,2662,2601950,32-Town: Distant
ADRIAN R-III,Missouri,689,2902850,43-Rural: Remote
ADRIAN SD 61,Oregon,287,4101020,42-Rural: Distant
ADVANCE R-IV,Missouri,428,2902880,42-Rural: Distant
ADVANCED MATH AND SCIENCE ACADEMY CHARTER,Massachusetts,970,2500085,21-Suburb: Large
ADVANCED TECHNOLOGY ACADEMY,Michigan,1207,2600255,12-City: Mid-size
ADVANTAGE ACADEMY,Texas,972,4800041,21-Suburb: Large
