ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,Total Students All Grades (Excludes AE) [District] 2024-25,Agency ID - NCES Assigned [District] Latest available year,Locale [District] 2024-25
SOUTH VERMILLION COM SCH CORP,Indiana,1548,1810590,41-Rural: Fringe
SOUTH WASCO COUNTY SD 1,Oregon,218,4100021,43-Rural: Remote
SOUTH WASHINGTON COUNTY SCHOOLS,Minnesota,19578,2733810,21-Suburb: Large
SOUTH WESTERN SD,Pennsylvania,4406,4222470,23-Suburb: Small
SOUTH WHIDBEY SCHOOL DISTRICT,Washington,1207,5308190,41-Rural: Fringe
SOUTH WHITTIER ELEMENTARY,California,2258,0637560,21-Suburb: Large
SOUTH WILLIAMSPORT AREA SD,Pennsylvania,1068,4222140,23-Suburb: Small
SOUTH WILMINGTON CCSD 74,Illinois,73,1736840,42-Rural: Distant
SOUTH WINDSOR SCHOOL DISTRICT,Connecticut,5125,0904170,21-Suburb: Large
SOUTH WINNESHIEK COMM SCHOOL DISTRICT,Iowa,553,1926790,42-Rural: Distant
SOUTH-WESTERN CITY,Ohio,21924,3904480,21-Suburb: Large
SOUTHAMPTON,Massachusetts,475,2510950,23-Suburb: Small
SOUTHAMPTON COUNTY PUBLIC SCHOOLS,Virginia,2363,5103600,42-Rural: Distant
SOUTHAMPTON TOWNSHIP SCHOOL DISTRICT,New Jersey,714,3415420,41-Rural: Fringe
SOUTHAMPTON UNION FREE SCHOOL DISTRICT,New York,1281,3627540,21-Suburb: Large
SOUTHBOROUGH,Massachusetts,1310,2510980,21-Suburb: Large
SOUTHBRIDGE,Massachusetts,1828,2511010,31-Town: Fringe
SOUTHEAST AREA COOPERATIVE,South Dakota,0,4664300,43-Rural: Remote
SOUTHEAST ARKANSAS EDUCATION SERVICE COOPERATIVE,Arkansas,†,0500013,41-Rural: Fringe
SOUTHEAST DELCO SD,Pennsylvania,3855,4222400,21-Suburb: Large
SOUTHEAST DUBOIS CO SCH CORP,Indiana,1254,1810640,42-Rural: Distant
SOUTHEAST FOUNTAIN SCHOOL CORP,Indiana,1045,1810620,42-Rural: Distant
SOUTHEAST ISLAND SCHOOL DISTRICT,Alaska,164,0200700,43-Rural: Remote
SOUTHEAST KANSAS SPECIAL EDUCATION INTERLOCAL,Kansas,†,2000034,32-Town: Distant
SOUTHEAST KS EDUCATION SERV CENTER,Kansas,†,2000041,43-Rural: Remote
SOUTHEAST LOCAL,Ohio,1401,3904922,42-Rural: Distant
SOUTHEAST OF SALINE,Kansas,698,2000001,42-Rural: Distant
SOUTHEAST OHIO CLASSICAL ACADEMY,OHIO,95,3910067,41-Rural: Fringe
SOUTHEAST POLK COMM SCHOOL DISTRICT,Iowa,7501,1926820,41-Rural: Fringe
SOUTHEAST REGION CAREER & TECHNICAL CENTER,North Dakota,†,3880660,33-Town: Remote
SOUTHEAST VALLEY COMMUNITY SCHOOL DISTRICT,Iowa,1077,1999019,43-Rural: Remote
SOUTHEAST WARREN COMM SCHOOL DISTRICT,Iowa,438,1926850,42-Rural: Distant
SOUTHEASTERN ACADEMY,North Carolina,218,3700346,42-Rural: Distant
SOUTHEASTERN BOCES,Colorado,†,0899400,41-Rural: Fringe
SOUTHEASTERN BOCES AU,Colorado,†,0800256,33-Town: Remote
SOUTHEASTERN CAREER CENTER,Indiana,0,1810660,43-Rural: Remote
SOUTHEASTERN CUSD 337,Illinois,429,1736610,43-Rural: Remote
SOUTHEASTERN GREENE SD,Pennsylvania,563,4222200,42-Rural: Distant
SOUTHEASTERN LOCAL,Ohio,913,3904952,42-Rural: Distant
SOUTHEASTERN LOCAL,Ohio,680,3904627,42-Rural: Distant
SOUTHEASTERN MASS. EDUCATIONAL COLLABORATIVE (SMEC),MASSACHUSETTS,†,2500560,22-Suburb: Mid-size
SOUTHEASTERN REGIONAL VOCATIONAL TECHNICAL,Massachusetts,1618,2511020,21-Suburb: Large
SOUTHEASTERN VIRGINIA TRAINING CENTER,Virginia,–,5100056,11-City: Large
SOUTHERN ARIZONA COMMUNITY ACADEMY INC. (79000),Arizona,89,0400254,11-City: Large
SOUTHERN BERKSHIRE,Massachusetts,607,2511040,42-Rural: Distant
SOUTHERN BOONE CO. R-I,Missouri,1971,2928560,42-Rural: Distant
SOUTHERN CALIFORNIA FLEX ACADEMY DISTRICT,CALIFORNIA,505,0601956,42-Rural: Distant
SOUTHERN CALIFORNIA ROC,California,0,0600107,12-City: Mid-size
SOUTHERN CALIFORNIA ROP,California,†,0601386,12-City: Mid-size
SOUTHERN CAYUGA CENTRAL SCHOOL DISTRICT,New York,666,3627570,42-Rural: Distant
SOUTHERN CLEVELAND DROP BACK INDBA INNOVATIVE CAREER ACADEMY,Ohio,65,3901414,11-City: Large
SOUTHERN CLOUD,Kansas,60,2006510,43-Rural: Remote
SOUTHERN COLUMBIA AREA SD,Pennsylvania,1198,4222260,42-Rural: Distant
SOUTHERN DOOR COUNTY SCHOOL DISTRICT,Wisconsin,1001,5514130,42-Rural: Distant
SOUTHERN EDUCATIONAL SERVICES COOPERATIVE,WEST VIRGINIA,†,5400059,13-City: Small
SOUTHERN FULTON SD,Pennsylvania,669,4222290,42-Rural: Distant
SOUTHERN HILLS,Ohio,488,3905079,42-Rural: Distant
SOUTHERN HUMBOLDT JOINT UNIFIED,California,647,0637590,43-Rural: Remote
SOUTHERN HUNTINGDON COUNTY SD,Pennsylvania,1007,4222320,42-Rural: Distant
SOUTHERN IN EDUCATION CENTER,Indiana,†,1800050,32-Town: Distant
SOUTHERN KERN UNIFIED,California,3636,0637620,31-Town: Fringe
SOUTHERN LEHIGH SD,Pennsylvania,3063,4222350,21-Suburb: Large
SOUTHERN LOCAL,Ohio,586,3904906,42-Rural: Distant
SOUTHERN LOCAL,Ohio,680,3904853,41-Rural: Fringe
SOUTHERN LOCAL,Ohio,790,3904644,42-Rural: Distant
SOUTHERN LYON COUNTY,Kansas,536,2006930,42-Rural: Distant
SOUTHERN MN EDUCATION CONSORTIUM,Minnesota,181,2700327,42-Rural: Distant
SOUTHERN OHIO CAREER ACADEMY,OHIO,48,3910055,32-Town: Distant
SOUTHERN OHIO ESC,Ohio,0,3904637,32-Town: Distant
SOUTHERN OK TECH. CTR.,Oklahoma,†,4000053,41-Rural: Fringe
SOUTHERN OREGON ESD,Oregon,0,4100029,13-City: Small
SOUTHERN PLAINS EDUCATION COOP.,Minnesota,94,2700046,33-Town: Remote
SOUTHERN REGIONAL SCHOOL DISTRICT,New Jersey,2698,3415480,21-Suburb: Large
SOUTHERN REYNOLDS CO. R-II,Missouri,425,2928590,43-Rural: Remote
SOUTHERN SCHOOL DISTRICT 1,Nebraska,361,3177180,42-Rural: Distant
SOUTHERN TIOGA SD,Pennsylvania,1694,4222370,42-Rural: Distant
SOUTHERN TRINITY JOINT UNIFIED,California,71,0637630,43-Rural: Remote
SOUTHERN UNIVERSITY LAB SCHOOL,Louisiana,777,2200023,12-City: Mid-size
SOUTHERN VALLEY SCHOOLS,Nebraska,397,3100109,43-Rural: Remote
SOUTHERN WAKE ACADEMY,North Carolina,534,3700114,21-Suburb: Large
SOUTHERN WELLS COM SCHOOLS,Indiana,880,1810770,42-Rural: Distant
SOUTHERN WORCESTER COUNTY EDUCATIONAL COLLABORATIVE,MASSACHUSETTS,†,2500571,41-Rural: Fringe
SOUTHERN WORCESTER COUNTY REGIONAL VOCATIONAL SCHOOL DISTRIC,Massachusetts,1188,2511050,41-Rural: Fringe
SOUTHERN YORK COUNTY SD,Pennsylvania,2724,4222380,41-Rural: Fringe
SOUTHFIELD PUBLIC SCHOOL DISTRICT,Michigan,4491,2632310,13-City: Small
SOUTHGATE ACADEMY INC. (79085),Arizona,367,0400259,11-City: Large
SOUTHGATE COMMUNITY SCHOOL DISTRICT,Michigan,3760,2632340,21-Suburb: Large
SOUTHGATE INDEPENDENT,Kentucky,180,2105460,21-Suburb: Large
SOUTHINGTON LOCAL,Ohio,437,3905023,41-Rural: Fringe
SOUTHINGTON SCHOOL DISTRICT,Connecticut,6200,0904230,21-Suburb: Large
SOUTHLAND C-9,Missouri,262,2928620,42-Rural: Distant
SOUTHLAND COLLEGE PREP CHTR HS,Illinois,584,1701400,21-Suburb: Large
SOUTHLAND ISD,Texas,132,4840890,42-Rural: Distant
SOUTHLAND PUBLIC SCHOOL DISTRICT,Minnesota,520,2702720,42-Rural: Distant
SOUTHMORELAND SD,Pennsylvania,1817,4222410,31-Town: Fringe
SOUTHOLD UNION FREE SCHOOL DISTRICT,New York,640,3627620,23-Suburb: Small
SOUTHPORT PUBLIC SCHOOLS,Maine,19,2312360,32-Town: Distant
SOUTHSIDE ACADEMY,Ohio,177,3901427,13-City: Small
SOUTHSIDE ACADEMY CHARTER SCHOOL,New York,685,3600070,12-City: Mid-size
SOUTHSIDE CHARTER SCHOOL,RHODE ISLAND,136,4400028,12-City: Mid-size
SOUTHSIDE ELEMENTARY,California,268,0637650,32-Town: Distant
SOUTHSIDE FAMILY CHARTER SCHOOL,Minnesota,119,2700278,11-City: Large
SOUTHSIDE ISD,Texas,6091,4840920,41-Rural: Fringe
SOUTHSIDE L.I.N.K. PROJECT/BRUNSWICK CO,Virginia,†,5100089,43-Rural: Remote
SOUTHSIDE SCHOOL DISTRICT,Washington,208,5308220,32-Town: Distant
SOUTHSIDE SCHOOL DISTRICT (INDEPENDENCE),Arkansas,2193,0512540,42-Rural: Distant
SOUTHSIDE SP SRVS OF MARION CO,Indiana,200,1800105,11-City: Large
SOUTHSIDE VIRGINIA TRAINING CENTER,Virginia,–,5100052,21-Suburb: Large
SOUTHWEST AREA CAREER & TECHNICAL EDUCATION ACADEMY,NORTH DAKOTA,†,3800407,33-Town: Remote
SOUTHWEST ARKANSAS EDUCATION COOPERATIVE,Arkansas,†,0500018,32-Town: Distant
SOUTHWEST CHARLOTTE STEM ACADEMY,NORTH CAROLINA,884,3700446,21-Suburb: Large
SOUTHWEST COOK COOP SPEC ED,Illinois,†,1701392,21-Suburb: Large
SOUTHWEST DUBOIS CO SCH CORP,Indiana,2041,1810870,41-Rural: Fringe
SOUTHWEST GEORGIA RESA,Georgia,†,1300019,41-Rural: Fringe
SOUTHWEST HARBOR PUBLIC SCHOOLS,Maine,127,2312390,43-Rural: Remote
SOUTHWEST ISD,Texas,14833,4840950,41-Rural: Fringe
SOUTHWEST KANSAS AREA COOPERATIVE,Kansas,†,2000047,33-Town: Remote
SOUTHWEST LEADERSHIP ACADEMY (92043),Arizona,223,0400880,11-City: Large
SOUTHWEST LEADERSHIP ACADEMY CS,Pennsylvania,672,4200758,11-City: Large
SOUTHWEST LICKING LOCAL,Ohio,5039,3904804,21-Suburb: Large
SOUTHWEST LIVINGSTON CO. R-I,Missouri,179,2928680,42-Rural: Distant
SOUTHWEST LOCAL,Ohio,4340,3904738,31-Town: Fringe
SOUTHWEST LOUISIANA CHARTER ACADEMY,LOUISIANA,852,2200189,13-City: Small
SOUTHWEST METRO INTERMEDIATE 288,MINNESOTA,560,2700420,21-Suburb: Large
SOUTHWEST PARKE COM SCH CORP,Indiana,1002,1810900,42-Rural: Distant
SOUTHWEST PLAINS REGIONAL SVC CTR,Kansas,†,2000347,43-Rural: Remote
SOUTHWEST PREPARATORY SCHOOL,Texas,839,4800063,11-City: Large
SOUTHWEST PUBLIC SCHOOLS,Texas,1866,4800125,11-City: Large
SOUTHWEST PUBLIC SCHOOLS,Nebraska,326,3100178,42-Rural: Distant
SOUTHWEST R-V,Missouri,771,2928710,42-Rural: Distant
SOUTHWEST REGION SCHOOL DISTRICT,Alaska,615,0200710,43-Rural: Remote
SOUTHWEST SCHOOL CORPORATION,Indiana,1776,1810860,41-Rural: Fringe
SOUTHWEST SPECIAL ED UNIT,North Dakota,†,3880240,43-Rural: Remote
SOUTHWEST TECH,Vermont,0,5000022,32-Town: Distant
SOUTHWEST TECH. CTR.,Oklahoma,†,4000066,41-Rural: Fringe
SOUTHWEST TECHNICAL EDUCATION DISTRICT OF YUMA (ST (92705),ARIZONA,8,0400920,12-City: Mid-size
SOUTHWEST TRANSPORTATION AGENCY,California,†,0601394,42-Rural: Distant
SOUTHWEST VERMONT SUPERVISORY UNION,Vermont,†,5099905,32-Town: Distant
SOUTHWEST VERMONT UNION ELEMENTARY SCHOOL DISTRICT #87,VERMONT,1353,5000434,32-Town: Distant
SOUTHWEST VIRGINIA GOVERNOR'S SCHOOL,Virginia,†,5102174,32-Town: Distant
SOUTHWEST VIRGINIA MENTAL HEALTH INSTITUTE,Virginia,–,5100047,32-Town: Distant
SOUTHWESTERN CENTRAL SCHOOL DISTRICT AT JAMESTOWN,New York,1251,3627660,32-Town: Distant
SOUTHWESTERN CON SCH SHELBY CO,Indiana,669,1810830,42-Rural: Distant
SOUTHWESTERN CUSD 9,Illinois,1149,1731500,42-Rural: Distant
SOUTHWESTERN ILLINOIS CAREER & TE,Illinois,†,1700297,21-Suburb: Large
SOUTHWESTERN WISCONSIN SCHOOL DISTRICT,Wisconsin,528,5506300,42-Rural: Distant
SOUTHWESTERN-JEFFERSON CO CON,Indiana,1263,1810800,41-Rural: Fringe
SOUTHWICK-TOLLAND-GRANVILLE REGIONAL SCHOOL DISTRICT,Massachusetts,1295,2500013,21-Suburb: Large
SPACKENKILL UNION FREE SCHOOL DISTRICT,New York,1585,3606500,21-Suburb: Large
SPARK ACADEMY OF ADVANCED TECHNOLOGIES,NEW HAMPSHIRE,96,3303315,12-City: Mid-size
SPARROW ACADEMY DISTRICT,CALIFORNIA,156,0602298,21-Suburb: Large
SPARTA AREA SCHOOL DISTRICT,Wisconsin,2749,5514160,32-Town: Distant
SPARTA AREA SCHOOLS,Michigan,2371,2632370,31-Town: Fringe
SPARTA CUSD 140,Illinois,1153,1736900,43-Rural: Remote
SPARTA R-III,Missouri,734,2928740,42-Rural: Distant
SPARTA TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,3341,3415510,41-Rural: Fringe
SPARTANBURG 01,South Carolina,5364,4503480,31-Town: Fringe
SPARTANBURG 02,South Carolina,11806,4503510,41-Rural: Fringe
SPARTANBURG 03,South Carolina,2748,4503540,41-Rural: Fringe
SPARTANBURG 04,South Carolina,2961,4503570,42-Rural: Distant
SPARTANBURG 05,South Carolina,11066,4503600,22-Suburb: Mid-size
SPARTANBURG 06,South Carolina,11714,4503630,22-Suburb: Mid-size
SPARTANBURG 07,South Carolina,7255,4503660,13-City: Small
SPARTANBURG 80,South Carolina,0,4503470,22-Suburb: Mid-size
SPARTANBURG 81,South Carolina,0,4500010,41-Rural: Fringe
SPARTANBURG 82,South Carolina,0,4500011,41-Rural: Fringe
SPEARFISH SCHOOL DISTRICT 40-2,South Dakota,2385,4666930,32-Town: Distant
SPEARMAN ISD,Texas,692,4841010,43-Rural: Remote
SPEARVILLE,Kansas,373,2011820,43-Rural: Remote
SPEC ED DIST OF MCHENRY CO-SEDOM,Illinois,†,1700207,31-Town: Fringe
SPEC EDUC ASSOC OF ADAMS COUNTY,Illinois,†,1736920,33-Town: Remote
SPEC EDUC ASSOC OF PEORIA COUNTY,Illinois,†,1700225,21-Suburb: Large
SPEC EDUC DIST LAKE COUNTY/SEDOL,Illinois,0,1700059,21-Suburb: Large
SPECIAL SCHOOL DISTRICT,Louisiana,283,2280100,12-City: Mid-size
SPECIAL SERVICES COOPERATIVE OF WAMEGO,KANSAS,†,2000357,31-Town: Fringe
SPECL. SCH. DST. ST. LOUIS CO.,Missouri,3576,2926760,21-Suburb: Large
SPECTRUM ACADEMY,Utah,1525,4900042,21-Suburb: Large
SPECTRUM CS,Pennsylvania,61,4200064,21-Suburb: Large
SPECTRUM HIGH SCHOOL,Minnesota,940,2700276,21-Suburb: Large
SPEED SEJA #802,Illinois,†,1700029,21-Suburb: Large
SPENCER COMM SCHOOL DISTRICT,Iowa,2194,1926910,33-Town: Remote
SPENCER COUNTY,Kentucky,3341,2105490,42-Rural: Distant
SPENCER SCHOOL DISTRICT,Wisconsin,631,5514190,42-Rural: Distant
SPENCER VALLEY ELEMENTARY,California,41,0637680,42-Rural: Distant
SPENCER-E BROOKFIELD,Massachusetts,1398,2500002,41-Rural: Fringe
SPENCER-OWEN COMMUNITY SCHOOLS,Indiana,2156,1810950,42-Rural: Distant
SPENCER-VAN ETTEN CENTRAL SCHOOL DISTRICT,New York,818,3627750,42-Rural: Distant
SPENCERPORT CENTRAL SCHOOL DISTRICT,New York,3636,3627780,41-Rural: Fringe
SPENCERVILLE LOCAL,Ohio,986,3904580,42-Rural: Distant
SPERO ACADEMY,Minnesota,275,2700352,11-City: Large
SPERRY,Oklahoma,1008,4028170,41-Rural: Fringe
SPICKARD R-II,Missouri,21,2928770,42-Rural: Distant
SPIRIT LAKE COMM SCHOOL DISTRICT,Iowa,1319,1927000,33-Town: Remote
SPIRO,Oklahoma,1087,4028200,42-Rural: Distant
SPLENDORA ISD,Texas,5687,4841070,41-Rural: Fringe
SPOKANE INTERNATIONAL ACADEMY,WASHINGTON,824,5300337,12-City: Mid-size
SPOKANE R-VII,Missouri,747,2928800,41-Rural: Fringe
SPOKANE SCHOOL DISTRICT,Washington,28853,5308250,12-City: Mid-size
SPOON RIVER VALLEY CUSD 4,Illinois,236,1736960,42-Rural: Distant
SPOONER AREA SCHOOL DISTRICT,Wisconsin,1000,5514220,43-Rural: Remote
SPOTSWOOD PUBLIC SCHOOL DISTRICT,New Jersey,1655,3415540,21-Suburb: Large
SPOTSYLVANIA COUNTY PUBLIC SCHOOLS,Virginia,24036,5103640,41-Rural: Fringe
SPRAGUE SCHOOL DISTRICT,Connecticut,265,0904260,41-Rural: Fringe
SPRAGUE SCHOOL DISTRICT,Washington,55,5308280,43-Rural: Remote
SPRAY SD 1,Oregon,58,4111640,43-Rural: Remote
SPRECKELS UNION ELEMENTARY,California,850,0637710,22-Suburb: Mid-size
SPRING BLUFF R-XV,Missouri,217,2912450,42-Rural: Distant
SPRING BRANCH ISD,Texas,32668,4841100,11-City: Large
SPRING COVE SD,Pennsylvania,1577,4222530,41-Rural: Fringe
SPRING CREEK COLONY ELEM,Montana,3,3024690,42-Rural: Distant
SPRING CREEK ELEM,Montana,3,3003660,43-Rural: Remote
SPRING GARDEN CCSD 178,ILLINOIS,217,1701419,41-Rural: Fringe
SPRING GROVE AREA SD,Pennsylvania,3872,4222590,41-Rural: Fringe
SPRING GROVE SCHOOL DISTRICT,Minnesota,349,2733300,42-Rural: Distant
SPRING HILL,Kansas,5860,2011850,31-Town: Fringe
SPRING HILL ISD,Texas,1901,4841190,13-City: Small
SPRING HILL SCHOOL DISTRICT,Arkansas,621,0512630,42-Rural: Distant
SPRING ISD,Texas,33590,4841220,21-Suburb: Large
SPRING LAKE BOROUGH,New Jersey,134,3415570,21-Suburb: Large
SPRING LAKE CCSD 606,Illinois,55,1737020,42-Rural: Distant
SPRING LAKE HEIGHTS SCHOOL DISTRICT,New Jersey,300,3415600,21-Suburb: Large
SPRING LAKE PARK PUBLIC SCHOOLS,Minnesota,6113,2733330,21-Suburb: Large
SPRING LAKE PUBLIC SCHOOLS,Michigan,2275,2632550,22-Suburb: Mid-size
SPRING VALLEY CCSD 99,Illinois,632,1737050,32-Town: Distant
SPRING VALLEY SCHOOL DISTRICT,Wisconsin,651,5514340,43-Rural: Remote
SPRING-FORD AREA SD,Pennsylvania,8101,4222560,21-Suburb: Large
SPRINGBORO COMMUNITY CITY,Ohio,6194,3905042,41-Rural: Fringe
SPRINGDALE SCHOOL DISTRICT,Arkansas,22685,0512660,13-City: Small
SPRINGER,Oklahoma,209,4028350,42-Rural: Distant
SPRINGER,New Mexico,120,3502490,43-Rural: Remote
SPRINGFIELD,Massachusetts,23670,2511130,12-City: Mid-size
SPRINGFIELD CITY SCHOOL DISTRICT,Ohio,7288,3904481,13-City: Small
SPRINGFIELD INTERNATIONAL CHARTER,Massachusetts,1511,2500028,12-City: Mid-size
SPRINGFIELD LOCAL,Ohio,1742,3905006,21-Suburb: Large
SPRINGFIELD LOCAL,Ohio,858,3904837,41-Rural: Fringe
SPRINGFIELD LOCAL,Ohio,3214,3904822,21-Suburb: Large
SPRINGFIELD PLATTEVIEW COMMUNITY SCHOOLS,Nebraska,1230,3175630,41-Rural: Fringe
SPRINGFIELD PREPARATORY AND FITNESS ACADEMY,Ohio,158,3900551,13-City: Small
SPRINGFIELD PREPARATORY CHARTER SCHOOL,MASSACHUSETTS,486,2500557,12-City: Mid-size
SPRINGFIELD PUBLIC SCHOOL DISTRICT,Minnesota,653,2733390,43-Rural: Remote
SPRINGFIELD PUBLIC SCHOOL DISTRICT,New Jersey,2229,3415630,21-Suburb: Large
SPRINGFIELD R-XII,Missouri,24285,2928860,12-City: Mid-size
SPRINGFIELD SCHOOL DISTRICT,Vermont,1171,5007530,33-Town: Remote
SPRINGFIELD SCHOOL DISTRICT NO. RE-4,Colorado,284,0806630,43-Rural: Remote
SPRINGFIELD SD,Pennsylvania,4432,4222600,21-Suburb: Large
SPRINGFIELD SD 186,Illinois,13014,1737080,12-City: Mid-size
SPRINGFIELD SD 19,Oregon,9250,4111670,13-City: Small
SPRINGFIELD SPORTS ACADEMY,OHIO,110,3910057,13-City: Small
SPRINGFIELD SUPERVISORY DISTRICT,Vermont,†,5099956,33-Town: Remote
SPRINGFIELD TOWNSHIP SCHOOL DISTRICT,New Jersey,298,3415660,41-Rural: Fringe
SPRINGFIELD TOWNSHIP SD,Pennsylvania,2518,4222620,21-Suburb: Large
SPRINGFIELD-CLARK COUNTY,Ohio,657,3905153,13-City: Small
SPRINGHILL ELEM,Montana,16,3024810,42-Rural: Distant
SPRINGLAKE-EARTH ISD,Texas,231,4841250,43-Rural: Remote
SPRINGPORT PUBLIC SCHOOLS,Michigan,932,2632610,42-Rural: Distant
SPRINGS UNION FREE SCHOOL DISTRICT,New York,690,3627900,31-Town: Fringe
SPRINGS VALLEY COM SCHOOL CORP,Indiana,877,1810980,43-Rural: Remote
SPRINGTOWN ISD,Texas,4188,4841280,42-Rural: Distant
SPRINGVILLE COMM SCHOOL DISTRICT,Iowa,478,1927060,41-Rural: Fringe
SPRINGVILLE COMMUNITY ACADEMY,INDIANA,253,1813232,42-Rural: Distant
SPRINGVILLE UNION ELEMENTARY,California,335,0637770,42-Rural: Distant
SPRINGVILLE-GRIFFITH INSTITUTE CENTRAL SCHOOL DISTRICT,New York,1610,3612990,42-Rural: Distant
SPUR ISD,Texas,192,4800002,43-Rural: Remote
SPURGER ISD,Texas,396,4841340,43-Rural: Remote
SR1 COLLEGE PREP & STEM ACADEMY,MISSISSIPPI,87,2804803,31-Town: Fringe
ST ANSGAR COMM SCHOOL DISTRICT,Iowa,643,1925200,43-Rural: Remote
ST ANTHONY SCHOOL,Texas,318,4800248,11-City: Large
ST BERNARD-ELMWOOD PLACE CITY,Ohio,740,3904471,21-Suburb: Large
ST CHARLES CUSD 303,Illinois,11731,1737170,21-Suburb: Large
ST CLAIR COUNTY,Alabama,9658,0103062,42-Rural: Distant
ST CLAIR ROE SPECIAL EDUCATION,Illinois,†,1700147,21-Suburb: Large
ST CLAIRSVILLE-RICHLAND CITY,Ohio,1619,3904599,23-Suburb: Small
ST DAVID UNIFIED DISTRICT (4173),Arizona,433,0408020,42-Rural: Distant
ST EDWARD PUBLIC SCHOOLS,Nebraska,156,3176980,43-Rural: Remote
ST ELMO CUSD 202,Illinois,390,1737230,43-Rural: Remote
ST FRANCIS COMM SCH,Kansas,297,2011880,43-Rural: Remote
ST GEORGE CCSD 258,Illinois,395,1737320,41-Rural: Fringe
ST GEORGE PUBLIC SCHOOLS,MAINE,206,2314820,42-Rural: Distant
ST HELENS SD 502,Oregon,2863,4111720,31-Town: Fringe
ST HENRY CONSOLIDATED LOCAL,Ohio,1085,3904858,42-Rural: Distant
ST IGNATIUS K-12 SCHOOLS,Montana,459,3006110,42-Rural: Distant
ST JOHN 3,North Dakota,458,3817460,43-Rural: Remote
ST JOHN-HUDSON,Kansas,366,2011910,43-Rural: Remote
ST JOHNS UNIFIED DISTRICT (4153),Arizona,870,0408080,43-Rural: Remote
ST JOSEPH CCSD 169,Illinois,748,1737380,42-Rural: Distant
ST JOSEPH OGDEN CHSD 305,Illinois,457,1737410,42-Rural: Distant
ST LIBORY CONS SD 30,Illinois,65,1737440,42-Rural: Distant
ST MARIES JOINT DISTRICT,Idaho,882,1603060,42-Rural: Distant
ST MARY'S ACADEMY CHARTER SCHOOL,Texas,282,4800177,33-Town: Remote
ST MARYS CITY,Ohio,1984,3904472,32-Town: Distant
ST PAUL CONSERVATORY PERFORMING ART,Minnesota,336,2700351,11-City: Large
ST PAUL PUBLIC SCHOOLS,Nebraska,667,3100085,42-Rural: Distant
ST PAUL SD 45,Oregon,297,4111760,42-Rural: Distant
ST REGIS K-12 SCHOOLS,Montana,190,3024930,43-Rural: Remote
ST ROSE SD 14-15,Illinois,167,1737470,42-Rural: Distant
ST. ANNE UNIT DISTRICT 24,ILLINOIS,472,1743966,42-Rural: Distant
ST. ANTHONY-NEW BRIGHTON SCHOOLS,Minnesota,1891,2733420,21-Suburb: Large
ST. BERNARD PARISH,Louisiana,7592,2201410,21-Suburb: Large
ST. CHARLES COMMUNITY SCHOOLS,Michigan,703,2632640,42-Rural: Distant
ST. CHARLES PARISH,Louisiana,8756,2201440,21-Suburb: Large
ST. CHARLES PUBLIC SCHOOL DISTRICT,Minnesota,936,2733450,42-Rural: Distant
ST. CHARLES R-VI,Missouri,4732,2928920,13-City: Small
ST. CLAIR COUNTY INTERVENTION ACADEMY,Michigan,34,2600316,23-Suburb: Small
ST. CLAIR COUNTY RESA,Michigan,705,2680940,23-Suburb: Small
ST. CLAIR PUBLIC SCHOOL DISTRICT,Minnesota,820,2733480,42-Rural: Distant
ST. CLAIR R-XIII,Missouri,2062,2929100,32-Town: Distant
ST. CLOUD PUBLIC SCHOOL DISTRICT,Minnesota,9940,2733510,13-City: Small
ST. COLETTA SPECIAL EDUCATION PCS,District of Columbia,250,1100064,11-City: Large
ST. CROIX PREPARATORY ACADEMY,Minnesota,1212,2700362,31-Town: Fringe
ST. CROIX RIVER EDUCATION DISTRICT,Minnesota,85,2700015,43-Rural: Remote
ST. ELIZABETH R-IV,Missouri,282,2929130,42-Rural: Distant
ST. FRANCIS AREA SCHOOLS,Minnesota,4281,2733540,31-Town: Fringe
ST. GEORGE ACADEMY,UTAH,229,4900188,41-Rural: Fringe
ST. HELENA PARISH,Louisiana,997,2201470,42-Rural: Distant
ST. HOPE LEADERSHIP ACADEMY CHARTER SCHOOL,New York,184,3600958,11-City: Large
ST. HOPE PUBLIC SCHOOL 7 DISTRICT,CALIFORNIA,471,0602094,11-City: Large
ST. HOSP. TRAINING CENTER PARSONS,Kansas,14,2000022,33-Town: Remote
ST. IGNACE AREA SCHOOLS,Michigan,360,2600012,33-Town: Remote
ST. JAMES PARISH,Louisiana,3194,2201500,21-Suburb: Large
ST. JAMES PUBLIC SCHOOL DISTRICT,Minnesota,1143,2733600,43-Rural: Remote
ST. JAMES R-I,Missouri,1559,2929250,42-Rural: Distant
ST. JOHN SCHOOL DISTRICT,Washington,145,5308310,43-Rural: Remote
ST. JOHN THE BAPTIST PARISH,Louisiana,5039,2201530,21-Suburb: Large
ST. JOHNS,Florida,52324,1201740,21-Suburb: Large
ST. JOHNS PUBLIC SCHOOLS,Michigan,2458,2632820,31-Town: Fringe
ST. JOSEPH,Missouri,10430,2927060,13-City: Small
ST. JOSEPH COUNTY ISD,Michigan,347,2680960,42-Rural: Distant
ST. JOSEPH PUBLIC SCHOOLS,Michigan,2930,2632850,23-Suburb: Small
ST. LANDRY PARISH,Louisiana,10982,2201560,42-Rural: Distant
